acc_x_mean,acc_x_std,acc_x_min,acc_x_max,acc_x_median,acc_x_dom_freq,acc_x_dom_mag,acc_x_spectral_energy,acc_y_mean,acc_y_std,acc_y_min,acc_y_max,acc_y_median,acc_y_dom_freq,acc_y_dom_mag,acc_y_spectral_energy,acc_z_mean,acc_z_std,acc_z_min,acc_z_max,acc_z_median,acc_z_dom_freq,acc_z_dom_mag,acc_z_spectral_energy,gyro_x_mean,gyro_x_std,gyro_x_min,gyro_x_max,gyro_x_median,gyro_x_dom_freq,gyro_x_dom_mag,gyro_x_spectral_energy,gyro_y_mean,gyro_y_std,gyro_y_min,gyro_y_max,gyro_y_median,gyro_y_dom_freq,gyro_y_dom_mag,gyro_y_spectral_energy,gyro_z_mean,gyro_z_std,gyro_z_min,gyro_z_max,gyro_z_median,gyro_z_dom_freq,gyro_z_dom_mag,gyro_z_spectral_energy,acc_mag_mean,acc_mag_max,acc_mag_std,activity,person
-0.960292386,1.6922142656731451,-4.660046,4.170031,-1.15573025,0.7000000000000001,0.8271877217862822,2.3525279603408054,-0.5104019959999999,0.6124767168097396,-2.432263,2.293272,-0.514633,1.4000000000000001,0.1693201036358999,0.44788666785036474,-0.17843876549999999,1.061919815987025,-3.138685,3.250765,-0.11923949999999994,0.6000000000000001,0.44355246819207605,0.5951135890314034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1513549716172276,4.981348448706735,1.011283333388836,jumpingjacks,anja
-1.0053086715,1.780153549670387,-5.122523,3.449954,-1.421965,0.7000000000000001,0.916480406778762,2.5935489701145995,-0.550476145,0.556688160603295,-1.8247705,1.052187,-0.564419,1.4000000000000001,0.19816399530206114,0.4578205034915431,-0.153761422,0.8920503623025704,-4.399893,3.143119,-0.150657,0.7000000000000001,0.26910604129289806,0.42112209993751093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1979597714748667,5.188797522079562,0.91015138529931,jumpingjacks,anja
-1.1440241795000001,2.041107190474821,-5.430581,4.264831,-1.493452,0.7000000000000001,0.8095229175682392,3.3897757341240444,-0.808384043,0.7339534988226275,-1.939251,1.858303,-0.9247704999999999,1.5,0.28000148922427226,0.9225592983976678,-0.08795319800000001,0.6934069034312655,-2.039251,2.187569,-0.115795,0.7000000000000001,0.2024526049998853,0.24790317170092632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.472791043937124,5.683550665023582,1.0566024196205117,jumpingjacks,anja
-1.1717707185,1.9495864239470042,-5.017126,4.689098,-1.581093,0.8,0.9112009762274597,3.2715898589248993,-0.8106565065,0.7609309885823893,-3.471973,1.716514,-0.925413,1.5,0.24230951452147095,0.9463839317787373,-0.2953376525,0.899447819976256,-2.781957,4.223134,-0.38468274999999996,0.8,0.3071861745552854,0.49133813345054944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5246992349783395,6.653427319928129,1.008343425631855,jumpingjacks,anja
-1.3481131105000002,2.0637302083390328,-6.0465365,4.400306,-1.632668,0.8,1.0874933877094441,3.944770886107824,-0.984878866,0.7608413974004931,-2.8674315,1.632309,-1.15696075,0.8,0.22822628753374918,1.2591513041817635,0.2218623415,0.5901627847331994,-1.179923,2.839037,0.166972,1.6,0.1423330908290275,0.22319510728076583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.617861883462432,6.115924209865056,1.0907354298344838,jumpingjacks,anja
0.0176451555,0.09983503282195398,-0.336896,0.311009,0.011644,0.4,0.051035440527465115,0.005290221146923067,0.277818457,0.34210821614926246,-0.163914,0.901636,0.17831025,0.4,0.22639279905592782,0.1356443198037491,0.8537078705,0.31857695228272825,0.0,1.3558105,0.963303,0.4,0.19044763507695311,0.7795157056293242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0126154373064071,1.380246319172415,0.14021251602847115,lifting,anja
0.06788656550000001,0.09795555157933965,-0.224878,0.31896,0.06761075,0.4,0.043273414000980365,0.009401770286639462,0.3355164585,0.3861314715202426,-0.212737,0.940872,0.2627445,0.4,0.2592418840527674,0.1870458625864119,0.786765872,0.3742204029903319,0.0,1.330887,0.890879,0.4,0.22238470733604823,0.6889523580318464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0116792871440934,1.3535011922052376,0.15050139370195623,lifting,anja
0.005023272999999999,0.08683493118248806,-0.342202,0.212951,-0.003257,0.4,0.038740375584675746,0.003791617916932027,0.30986775150000007,0.4190805817450616,-0.252248,0.963303,0.21661350000000001,0.4,0.26970213561192546,0.18374447665114976,0.7755904755,0.44263192591104955,-0.02182,1.618402,0.9627675,0.4,0.24774470298371323,0.6994069820362668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0294618147948524,1.6238465090618939,0.18450023102953128,lifting,anja
0.037960545,0.09315981488768041,-0.200719,0.378395,0.016713,0.5,0.02682009969258341,0.005776041250564154,0.29005497499999994,0.41716999350416695,-0.255153,0.95922,0.185214,0.4,0.19166027025463925,0.17106027557045966,0.7674775580000001,0.4414961767704938,-0.04893,1.511728,0.869618,0.4,0.19189053139551582,0.6863843554799735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.012233793114158,1.5287026285033332,0.20011052897666493,lifting,anja
0.0415780865,0.09645389560841129,-0.245367,0.292661,0.051789,0.5,0.04218146794067522,0.006375830993344241,0.3416846585,0.41007776727389583,-0.274205,0.960856,0.3348625,0.5,0.24307420494117823,0.2007462164926016,0.7333578015000001,0.4655816144279843,-0.045459,1.626193,0.7672785,0.5,0.2631434114177448,0.6460904306282654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0095598423239627,1.6446493457190199,0.21418674779521127,lifting,anja
